"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"255",3.31321,0.666739,-0.0666549,-0.117233,-0.00823558,-0.0948067,0.116138,0.286461,1
"256",3.39054,0.491341,-0.0358663,-0.0491882,-0.0843404,-0.0648673,0.10539,0.279277,1
"257",3.31136,0.57426,0.0251014,-0.113892,-0.0675712,-0.129118,0.109118,0.281519,0
"258",3.41778,0.529525,-0.0163843,-0.169536,-0.088438,0.0780954,0.1128,0.28898,1
"259",3.38183,0.551644,0.0373323,-0.171179,-0.0961032,-0.236275,0.107059,0.284821,0
"260",3.31981,0.679101,-0.0840554,0.0185278,-0.103088,0.127101,0.107723,0.270751,1
"261",3.32293,0.611645,-0.0116389,-0.0576368,-0.0343968,-0.0862154,0.11107,0.285001,0
"262",3.30866,0.605292,-0.0129918,-0.141946,-0.0108113,-0.0420682,0.109645,0.273618,0
"263",3.361,0.52503,0.0197216,-0.168489,-0.0991919,-0.197055,0.10741,0.273877,0
"264",3.38152,0.633792,-0.0361606,-0.148047,-0.082127,-0.166901,0.108098,0.283117,0
"265",3.37391,0.571605,-0.00638872,-0.0564209,-0.0659819,-0.239287,0.110922,0.263863,1
"266",3.34255,0.503646,-0.0454969,-0.0958888,-0.0559272,-0.00988204,0.115683,0.270966,0
"267",3.42483,0.544769,0.019068,-0.155924,-0.0735836,-0.341381,0.110509,0.278697,0
"268",3.28712,0.598524,0.00683284,-0.0942328,-0.00314514,-0.0673974,0.10683,0.277044,0
"269",3.3598,0.526488,-0.0309724,-0.00323735,-0.0990717,-0.162851,0.117858,0.278121,0
