"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"260",3.41934,0.437511,-0.00907304,-0.112814,-0.104738,-0.0219833,0.110353
"261",3.37363,0.559344,-0.0051596,-0.201926,-0.03769,-0.0221207,0.107441
"262",3.35647,0.68218,-0.0570672,-0.0208187,-0.0749714,-0.0531614,0.106732
"263",3.36966,0.574103,0.0162508,-0.263465,0.00543257,0.202327,0.107961
"264",3.31199,0.545039,-0.0185146,-0.10992,-0.0345245,-0.0138259,0.106145
"265",3.35922,0.631198,0.036005,-0.0698077,-0.131354,-0.303899,0.113565
"266",3.41841,0.46815,-0.050526,-0.0446966,-0.126362,0.124651,0.11087
"267",3.37732,0.542859,0.0119826,-0.0519031,-0.0852933,-0.110482,0.10601
"268",3.37903,0.508421,-0.124144,0.0177917,-0.0743999,0.204003,0.106629
"269",3.38424,0.608265,-0.120538,-0.105399,-0.0875135,-0.0293295,0.107229
"270",3.36414,0.604069,0.00486527,-0.199081,-0.0810662,-0.0332574,0.106485
"271",3.38898,0.687759,0.0131553,-0.175258,-0.10142,0.0687674,0.115538
"272",3.31863,0.642077,0.0259259,-0.124266,-0.0337218,-0.269665,0.117393
"273",3.53144,0.434159,-0.106111,-0.0377435,-0.0932523,-0.0549978,0.114027
"274",3.2856,0.657202,0.0761578,-0.382919,-0.091641,0.0246539,0.113301
"275",3.35109,0.569506,0.0346262,-0.224852,-0.11229,-0.194849,0.109841
"276",3.31752,0.61303,0.00264807,-0.0224249,-0.0916225,0.0379984,0.106825
"277",3.36725,0.590338,-0.0337121,-0.0404118,-0.0151569,-0.210531,0.111851
"278",3.3416,0.527127,-0.0434008,-0.0631821,-0.0767545,-0.0745532,0.110913
"279",3.36149,0.59663,-0.0266775,-0.136413,-0.0449791,-0.184594,0.111256
"280",3.33992,0.588467,0.0495722,-0.145855,-0.0644787,-0.0967417,0.107775
"281",3.44952,0.530191,-0.0487028,0.00710334,-0.0990483,-0.183339,0.108989
"282",3.44267,0.490896,-0.0832142,-0.164938,-0.0449559,-0.275575,0.115511
"283",3.34401,0.611974,-0.0478211,-0.0281144,-0.132259,-0.236232,0.111128
"284",3.43336,0.4765,-0.0109445,-0.121787,-0.07533,-0.314525,0.117231
"285",3.36382,0.581034,-0.00814614,-0.159585,-0.114067,-0.185572,0.112409
"286",3.31775,0.569704,-0.0383188,-0.0445598,0.0039349,0.0915456,0.113907
"287",3.43406,0.46733,-0.0395589,-0.167139,-0.106827,-0.281175,0.111732
"288",3.38447,0.696033,-0.0470251,-0.0975771,-0.0843667,-0.126287,0.105095
"289",3.33332,0.665981,0.0101322,-0.146095,-0.0579756,-0.110478,0.114637
"290",3.32298,0.632704,-0.0106457,-0.025418,-0.0711408,-0.0298909,0.112821
"291",3.39487,0.51958,-0.00458564,-0.122221,-0.13568,-0.154387,0.103476
"292",3.38065,0.430889,0.0311465,-0.124421,-0.0335802,0.060923,0.111334
"293",3.38388,0.504024,-0.0445683,-0.0309031,-0.124558,-0.162357,0.107764
"294",3.32575,0.621141,-0.054778,-0.0426186,-0.0710241,-0.124253,0.113656
"295",3.32994,0.566788,-0.00969012,-0.128404,-0.0208747,0.126432,0.11042
"296",3.31419,0.54244,-0.0349291,-0.0728147,-0.0541615,-0.0206825,0.107195
"297",3.34541,0.64321,-0.0317028,-0.160141,-0.0789945,-0.180486,0.108067
"298",3.39887,0.546059,-0.016345,-0.0330534,-0.140785,-0.317406,0.105868
"299",3.31533,0.541337,-0.0460556,-0.0939565,-0.119702,-0.19877,0.109957
"300",3.3092,0.696314,-0.0047209,-0.195355,-0.122019,-0.261913,0.109498
"301",3.46264,0.466712,0.0174724,-0.184886,-0.127775,-0.0380244,0.119003
"302",3.37788,0.560692,-0.0746167,-0.0408935,-0.0227556,0.0786478,0.110403
"303",3.39682,0.537829,-0.00971177,-0.0935138,-0.0627051,-0.204055,0.10442
"304",3.3378,0.562534,-0.0177398,-0.0979848,-0.0265637,-0.0137628,0.107775
"305",3.44224,0.495838,-0.0522113,-0.0999513,-0.0467007,-0.301569,0.106799
"306",3.29522,0.634731,-0.0438777,0.134155,-0.0279864,0.0231944,0.11056
"307",3.38032,0.426096,0.0119847,-0.122561,-0.112525,-0.226291,0.109657
"308",3.37984,0.639133,0.0287466,-0.17374,-0.0846903,0.0750903,0.107442
"309",3.32339,0.457574,-0.0396796,-0.0134129,-0.0950733,0.0128684,0.106471
"310",3.32118,0.58423,-0.120673,0.0381219,-0.0525314,-0.0485557,0.108176
"311",3.31547,0.643053,0.00956578,-0.136097,-0.104272,-0.232009,0.110496
"312",3.39932,0.497352,0.0193971,-0.238038,-0.0690759,-0.302956,0.110257
"313",3.39963,0.50362,-0.00554257,-0.0950212,-0.0954055,-0.0773626,0.108961
"314",3.33155,0.625099,-0.0277343,-0.0495896,-0.0284785,-0.172613,0.110237
